X	Y	Z	Yaw	Pitch	Roll	Thrust	T1	T2	T3	T4	PWM1	PWM2	PWM3	PWM4	Vyaw	Vpitch	Vroll
-0,1153503	0,5349832	0,09979001	-134,4026	-2,493089	-0,9492105	0,3377778	0,4790269	0,3377778	0,1965287	0,3377778	88	77	65	77	-43,12727273	3,373727273	98,02408182
-0,1148695	0,5364645	0,0980526	-135,1214	-2,418166	0,6861837	0,3422222	0,5247524	0,3422222	0,1596921	0,3422222	91	77	62	77	-35,99393939	9,46130303	96,25301515
-0,1141882	0,5377992	0,09663844	-135,5904	-2,180866	2,227139	0,3377778	0,5492568	0,3377778	0,1262987	0,3377778	93	77	60	77	-16,32121212	10,47024242	68,38591818
-0,1137574	0,5384182	0,09500526	-135,66	-2,072648	2,942919	0,3377778	0,5855446	0,3377778	0,09001091	0,3377778	96	77	57	77	8,227272727	8,028545455	31,45675758
-0,113705	0,5390725	0,09432421	-135,3189	-1,915924	3,265212	0,3377778	0,5983729	0,3377778	0,07718259	0,3377778	97	77	56	77	35,43636364	4,005575758	7,396969697
-0,1136398	0,5391499	0,09351837	-134,4906	-1,940464	3,187019	0,3377778	0,5322391	0,3377778	0,1433165	0,3377778	92	77	61	77	51,74545455	0,790636364	-15,87575758
-0,1129843	0,539519	0,09314725	-133,6113	-1,889833	2,741312	0,3377778	0,4432591	0,3377778	0,2322964	0,3377778	85	77	68	77	50,8030303	-1,057727273	-9,671363636
-0,112422	0,539119	0,09329174	-132,8141	-1,975369	2,867864	0,3377778	0,3342402	0,3377778	0,3413154	0,3377778	76	77	77	77	45,67272727	-17,57633333	6,227575758
-0,1103136	0,5390117	0,09187285	-132,1041	-2,469852	2,946822	0,3377778	0,2208175	0,3377778	0,454738	0,3377778	67	77	86	77	30,55757576	-26,18312121	39,597
-0,1072341	0,538595	0,08949039	-131,8057	-2,839412	4,174565	0,3377778	0,1106798	0,3377778	0,5648757	0,3377778	58	77	95	77	14,03636364	-21,34827273	106,3811818
-0,1030815	0,5384332	0,08668846	-131,6409	-3,174345	6,457401	0,3377778	0,006372184	0,3377778	0,6691834	0,3377778	50	77	103	77	-4,487878788	-18,61587879	168,1869091
-0,09752449	0,5383328	0,08165619	-131,9538	-3,453736	9,724733	0,3377778	0	0,3377778	0,7178875	0,3377778	50	77	107	77	-16,36060606	-7,369090909	156,363
-0,09410962	0,5382161	0,07869317	-132,1808	-3,417525	11,61738	0,3377778	0	0,3377778	0,746928	0,3377778	50	77	109	77	-24,85151515	-8,254848485	174,938697
-0,087011	0,5384936	0,07140632	-132,7739	-3,726146	15,49771	0,3377778	0	0,3377778	0,6841028	0,3377778	50	77	104	77	-44,61212121	-12,65466667	249,2887879
-0,07825762	0,5379403	0,06223639	-133,653	-3,835129	19,84391	0,3377778	0,1378673	0,3377778	0,5376883	0,3377778	61	77	93	77	-29,82121212	10,79427273	247,3072727
-0,06786037	0,5383627	0,05083965	-133,758	-3,369935	23,65885	0,3377778	0,2498635	0,3377778	0,425692	0,3377778	69	77	84	77	6,287878788	23,79133333	223,4339394
-0,05790089	0,5393529	0,03853767	-133,4455	-3,050015	27,21723	0,3377778	0,3178797	0,3377778	0,3576758	0,3377778	75	77	78	77	32,71515152	25,14645455	195,3542424
-0,04852796	0,5404832	0,02521985	-132,6784	-2,540102	30,10554	0,3377778	0	0	0	0	50	50	50	50	58,75151515	31,02484848	143,2909091
-0,03881833	0,5425228	0,01073719	-131,5067	-2,026195	31,94583	0,3377778	0	0	0	0	50	50	50	50	79,53939394	31,56906061	97,60787879
-0,03008055	0,5444925	-0,00354482	-130,0536	-1,498323	33,3266	0,3377778	0	0	0	0	50	50	50	50	96,63939394	25,40945455	68,78575758
-0,02117253	0,5473552	-0,01820725	-128,3176	-1,187683	34,21576	0,3377778	0	0	0	0	50	50	50	50	108,1787879	17,48940606	30,55606061
-0,01288581	0,5503534	-0,03298511	-126,4837	-0,9211726	34,33495	0,3377778	0	0	0	0	50	50	50	50	109,9969697	17,26224242	-9,466969697
-0,004149364	0,5538162	-0,04719779	-124,6877	-0,618029	33,90335	0,3377778	0	0	0	0	50	50	50	50	116,3878788	2,924112121	-12,05333333
0,003827817	0,5565159	-0,06224023	-122,6429	-0,8246769	33,93719	0,3377778	0	0	0	0	50	50	50	50	118,0939394	-0,7724	-3,932424242
0,01193435	0,5591633	-0,07607928	-120,7906	-0,6435182	33,77358	0,3377778	0	0	0	0	50	50	50	50	109,4393939	0,426006061	-1,236666667
0,01957018	0,5612258	-0,08938569	-119,0314	-0,8106187	33,89638	0,3377778	0	0	0	0	50	50	50	50	97,84242424	-13,27241818	8,23
0,02676725	0,5633571	-0,1016318	-117,5618	-1,081508	34,04517	0,3377778	0	0	0	0	50	50	50	50	80,01515152	-15,85788788	-2,467272727
0,03334066	0,5645609	-0,1133234	-116,3909	-1,333929	33,81496	0,3422222	0	0	0	0	50	50	50	50	74,18484848	-16,55133333	-13,80515152
0,03891279	0,5655667	-0,1233996	-115,1137	-1,627702	33,5896	0,3422222	0	0	0	0	50	50	50	50	77,98181818	-15,91863636	-23,98666667
0,04304118	0,5666155	-0,1319943	-113,8175	-1,859244	33,0234	0,3422222	0	0	0	0	50	50	50	50	78,13636364	-11,72484848	-31,94181818
0,04618068	0,5666454	-0,1391167	-112,5352	-2,014622	32,53552	0,3422222	0	0	0	0	50	50	50	50	74,76666667	-12,62936364	-36,68636364
0,04800269	0,5670996	-0,1441713	-111,3502	-2,276013	31,81275	0,3422222	0	0	0	0	50	50	50	50	57,19393939	-10,42693939	-56,76393939
