X	Y	Z	Yaw	Pitch	Roll	Thrust	T1	T2	T3	T4	PWM1	PWM2	PWM3	PWM4
0,01954111	0,5783304	-0,1281665	51,79367	2,900727	0,04581844	0	0	0,02854909	0,04660593	0	0	0	0	0
0,0195453	0,5782968	-0,1281157	51,79353	2,888343	0,05525811	0	0	0,02833085	0,04575296	0	0	0	0	0
0,01938447	0,5782132	-0,1280329	51,78867	2,875624	0,04614159	0	0	0,02829482	0,04065394	0	0	0	0	0
0,0192915	0,5781391	-0,1278803	51,74072	2,878349	0,05106621	0	0	0,02827282	0,02888674	0	0	0	0	0
0,01921353	0,5780305	-0,1277038	51,73783	2,883882	0,06070837	0	0	0,02823174	0,02465954	0	0	0	0	0
0,01918834	0,5779178	-0,1275389	51,7844	2,893818	0,07865482	0	0	0,02815163	0,03536208	0	0	0	0	0
0,01909678	0,5777447	-0,1274012	51,826	2,935371	0,111959	0	0	0,02823412	0,04076198	0	0	0	0	0
0,01914968	0,577611	-0,1272431	51,90484	2,999718	0,1513724	0	0	0,02848346	0,05732415	0	0	0	0	0
0,01908571	0,5774371	-0,1271279	51,95688	3,054629	0,2222451	0	0	0,02832384	0,06233518	0	0	0	0	0
0,01898308	0,5772986	-0,1270248	51,99689	3,053355	0,2965975	0	0	0,02756758	0,06236468	0	0	0	0	0
0,01887285	0,577149	-0,1269528	52,0089	3,016844	0,3719995	0	0	0,02644844	0,05971495	0	0	0	0	0
0,01879726	0,5770166	-0,1269368	52,02482	3,010158	0,418433	0	0	0,02591725	0,06204052	0	0	0	0	0
0,01876999	0,5768911	-0,1269651	52,04396	3,041919	0,4326493	0	0	0,0260927	0,06538008	0	0	0	0	0
0,01878006	0,5768272	-0,1269949	52,07966	3,091984	0,4350343	0	0	0,02656949	0,07594331	0	0	0	0	0
0,01880355	0,5768252	-0,1270508	52,13695	3,106339	0,4293709	0	0	0,02676968	0,08325144	0	0	0	0	0
0,01877718	0,5768709	-0,1270814	52,22556	3,047492	0,4285805	0	0	0,02618911	0,08769961	0	0	0	0	0
0,01880094	0,5769706	-0,1269937	52,28093	2,966916	0,4830539	0	0	0,02483862	0,08909111	0	0	0	0	0
0,01856674	0,5769999	-0,1268875	52,40198	2,941335	0,5501053	0	0	0,0239123	0,09457142	0	0	0	0	0
0,0185187	0,5771137	-0,1266988	52,58839	2,958612	0,6617522	0	0	0,0229686	0,1119849	0	0	0	0	0
0,01846314	0,577226	-0,1265927	52,85694	3,003083	0,8029367	0	0	0,02200147	0,1412656	0	0	0	0	0
0,01833686	0,5773769	-0,1265255	53,18103	2,994757	0,9436138	0	0	0,02051143	0,1800391	0	0	0	0	0
0,0182294	0,5774472	-0,1265098	53,33691	2,985153	1,026381	0,01777778	0	0,0373655	0,2153443	0	0	0	0	0
0,01794928	0,5777101	-0,1264695	53,70538	2,90969	1,298192	0,03111111	0	0,04722609	0,2725594	0,01499613	50	53	71	51
0,01774817	0,5779328	-0,1264834	53,84397	2,866042	1,432045	0,03111111	0	0,0454511	0,2858091	0,01677113	50	53	72	51
0,01749226	0,5781137	-0,1265913	53,87895	2,790016	1,479107	0,03111111	0	0,0442202	0,2828416	0,01800202	50	53	72	51
0,01735935	0,5781961	-0,1266857	53,84206	2,754762	1,490046	0,03111111	0	0,04375827	0,2675389	0,01846396	50	53	71	51
0,01713018	0,5783309	-0,1268942	53,74266	2,658758	1,469933	0,04	0	0,05188824	0,2566952	0,02811176	50	54	70	52
0,0169981	0,5784268	-0,1271345	53,64872	2,574829	1,385534	0,04888889	0	0,06078184	0,2381013	0,03699594	50	54	69	52
0,01700307	0,578482	-0,1273268	53,62602	2,536681	1,285649	0,05333333	0	0,06584366	0,2160718	0,04082301	50	55	67	53
0,01708944	0,5784003	-0,1274883	53,65336	2,495089	1,2505	0,05333333	0	0,06577922	0,18636	0,04088744	50	55	64	53
0,01728781	0,5784634	-0,1275177	53,8162	2,583255	1,122609	0,05333333	0	0,0679398	0,1666127	0,03872687	50	55	63	53
0,01748328	0,5784706	-0,1275055	53,99498	2,650568	1,031247	0,05333333	0	0,06952654	0,1691197	0,03714013	50	55	63	52
0,01762228	0,5784225	-0,1275528	54,14766	2,690618	0,9305692	0,05333333	0	0,07093382	0,1426191	0,03573285	50	55	61	52
0,01771096	0,5784242	-0,127601	54,25307	2,716557	0,8658229	0,05333333	0	0,07184067	0,138249	0,03482599	50	55	61	52
0,01782086	0,5784217	-0,1275984	54,32656	2,720814	0,8324638	0,05777778	0	0,07666127	0,147024	0,03889428	50	56	61	53
0,01790158	0,5785864	-0,12729	54,25582	2,716787	0,6639946	0,05777778	0	0,07830571	0,1412364	0,03724985	50	56	61	52
0,01784271	0,5786527	-0,1274519	54,2459	2,74425	0,5062207	0,05777778	0	0,08015807	0,1506701	0,03539749	50	56	62	52
0,01781905	0,5788239	-0,1280772	54,40064	2,628716	0,4076054	0,05777778	0	0,07998888	0,1783711	0,03556668	50	56	64	52
0,01784549	0,5788278	-0,1283533	54,44206	2,631083	0,3453803	0,05777778	0	0,0806348	0,1854666	0,03492075	50	56	64	52
0,01791511	0,5788963	-0,1284063	54,46198	2,597164	0,3367988	0,05777778	0	0,08038144	0,1841517	0,03517412	50	56	64	52
0,01780237	0,578968	-0,1286952	54,54202	2,5168	0,3331336	0,07555556	0	0,09739222	0,1911534	0,05371889	50	57	65	54
0,01803361	0,5789472	-0,1287975	54,53927	2,514123	0,339121	0,07555556	0	0,09730557	0,1694025	0,05380554	50	57	63	54
0,01809224	0,5789313	-0,1285959	54,43874	2,55087	0,3233261	0,07555556	0,01188447	0,097831	0,1392266	0,05328012	50	57	61	54
0,01816416	0,5788599	-0,1282158	54,39587	2,582161	0,2962625	0,07555556	0,02963543	0,09841454	0,1214757	0,05269657	52	57	59	54
0,01836778	0,5788581	-0,1284603	54,37517	2,603518	0,1993824	0,08888889	0,05502662	0,1129302	0,1227512	0,06484754	54	59	59	55
0,01837994	0,5788031	-0,1287481	54,41124	2,633874	0,06736334	0,09777778	0,05211569	0,1234429	0,1434399	0,07211266	54	59	61	55
0,01845838	0,5788524	-0,1290223	54,43659	2,627093	-0,06469052	0,1022222	0,05371509	0,12914	0,1507293	0,07530439	54	60	62	56
0,01849472	0,5789706	-0,1292459	54,43836	2,544974	-0,1048429	0,1066667	0,07773946	0,1331648	0,1355939	0,0801685	56	60	60	56
0,01851124	0,5786984	-0,1295395	54,48111	2,645858	-0,08232218	0,1022222	0,07190029	0,129504	0,1325442	0,07494041	55	60	60	55
0,01851198	0,5790577	-0,1294542	54,44018	2,581742	-0,2059019	0,1022222	0,08108039	0,1300987	0,123364	0,07434577	56	60	59	55
0,01840525	0,5792905	-0,12982	54,48234	2,525451	-0,1868916	0,1022222	0,08599878	0,1293456	0,1184457	0,07509879	56	60	59	56
0,01819343	0,5794643	-0,1300078	54,53733	2,488981	-0,2435328	0,1022222	0,0800012	0,1295474	0,1244432	0,07489708	56	60	59	55
0,01833718	0,5796119	-0,1302707	54,44478	2,481024	-0,243573	0,1022222	0,07912216	0,1294682	0,1253223	0,07497625	56	60	60	55
0,01835548	0,5799302	-0,130316	54,64531	2,415354	-0,2232956	0,1066667	0,05481298	0,1330532	0,1585204	0,08028017	54	60	62	56
0,01830246	0,5799935	-0,1302492	54,55639	2,458215	-0,3069381	0,1066667	0,06340788	0,1343182	0,1499255	0,07901514	55	60	61	56
0,01807541	0,5802658	-0,1299262	54,71013	2,210802	-0,5314862	0,1111111	0,05845087	0,138534	0,1637714	0,08368823	54	61	63	56
0,01830407	0,5800322	-0,1302843	54,40747	2,437992	-0,3839481	0,1111111	0,09406477	0,1393305	0,1281575	0,08289171	57	61	60	56
0,01821358	0,580184	-0,130346	54,44127	2,399667	-0,390451	0,1155556	0,09511366	0,1434567	0,1359974	0,08765437	57	61	60	57
0,01831762	0,5802977	-0,1305611	54,47189	2,304524	-0,3255014	0,1155556	0,09687266	0,1418558	0,1342385	0,0892553	57	61	60	57
0,0184266	0,5801484	-0,130398	54,42496	2,427042	-0,3617713	0,1244444	0,1056173	0,1523326	0,1432716	0,09655631	58	62	61	57
0,01804372	0,5801615	-0,1308265	54,63149	2,313565	-0,5246618	0,1244444	0,08865735	0,1528267	0,1602315	0,09606218	57	62	62	57
0,0182569	0,580372	-0,1309107	54,55542	2,389359	-0,4755874	0,1333333	0,112024	0,1619828	0,1546427	0,1046839	58	62	62	58
0,01821614	0,5803507	-0,1312343	54,58694	2,35583	-0,3583165	0,1333333	0,09629967	0,1604748	0,170367	0,1061919	57	62	63	58
0,01832437	0,5803265	-0,1312375	54,53378	2,431458	-0,4931236	0,1333333	0,1273341	0,1625791	0,1393326	0,1040875	60	63	61	58
